,postalCode,type,subtype,price,typeSale,subtypeSale,roomsCount,area,hasFullyEquippedKitchen,kitchenType,isFurnished,fireplaceExists,hasTerrace,terraceSurface,hasGarden,gardenSurface,landSurface,facadeCount,hasSwimmingPool,buildingCondition
0,1150,HOUSE,HOUSE,990000.0,FOR_SALE,BUY_REGULAR,7.0,485.0,0.0,HYPER_EQUIPPED,0,0,1,16.0,0,0,251,2.0,0,AS_NEW
1,5030,HOUSE,HOUSE,250000.0,FOR_SALE,BUY_REGULAR,,81.0,0.0,SEMI_EQUIPPED,0,1,1,25.0,1,400,633,3.0,0,TO_BE_DONE_UP
2,3000,HOUSE,HOUSE,395000.0,FOR_SALE,BUY_REGULAR,,104.0,0.0,INSTALLED,1,0,1,6.0,0,0,49,2.0,0,GOOD
3,1600,HOUSE,HOUSE,410000.0,FOR_SALE,BUY_REGULAR,,130.0,0.0,USA_HYPER_EQUIPPED,1,0,1,10.0,1,70,250,3.0,0,AS_NEW
4,4520,HOUSE,HOUSE,309000.0,FOR_SALE,BUY_REGULAR,,170.0,0.0,SEMI_EQUIPPED,0,0,1,20.0,1,600,891,4.0,0,GOOD
5,4520,HOUSE,VILLA,309000.0,FOR_SALE,BUY_REGULAR,,170.0,0.0,SEMI_EQUIPPED,0,0,1,20.0,1,600,891,4.0,0,GOOD
6,1180,HOUSE,HOUSE,660000.0,FOR_SALE,BUY_REGULAR,13.0,200.0,0.0,USA_SEMI_EQUIPPED,0,1,0,,1,96,323,3.0,0,GOOD
7,1780,HOUSE,HOUSE,745000.0,FOR_SALE,BUY_REGULAR,,287.0,0.0,HYPER_EQUIPPED,0,0,1,40.0,1,510,661,4.0,0,AS_NEW
8,1200,HOUSE,MANSION,2495000.0,FOR_SALE,BUY_REGULAR,7.0,460.0,0.0,HYPER_EQUIPPED,0,0,1,48.0,0,0,561,2.0,0,AS_NEW
9,2850,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
10,9600,HOUSE,VILLA,349000.0,FOR_SALE,BUY_REGULAR,,186.0,0.0,HYPER_EQUIPPED,0,0,1,30.0,1,485,992,4.0,0,GOOD
11,1457,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
12,9400,HOUSE,VILLA,460000.0,FOR_SALE,BUY_REGULAR,,225.0,0.0,INSTALLED,0,0,1,,0,0,1635,4.0,0,GOOD
13,3060,HOUSE,EXCEPTIONAL_PROPERTY,845000.0,FOR_SALE,BUY_REGULAR,,400.0,0.0,USA_HYPER_EQUIPPED,0,0,1,50.0,1,1500,1869,4.0,0,GOOD
14,4630,HOUSE,HOUSE,184000.0,FOR_SALE,BUY_REGULAR,,140.0,0.0,NOT_INSTALLED,0,0,0,,1,20,177,3.0,0,GOOD
15,1730,HOUSE,MIXED_USE_BUILDING,889000.0,FOR_SALE,BUY_REGULAR,,302.0,0.0,USA_HYPER_EQUIPPED,0,0,1,,0,0,4529,4.0,0,AS_NEW
16,9600,HOUSE,HOUSE,119500.0,FOR_SALE,BUY_REGULAR,,115.0,0.0,INSTALLED,0,0,0,,0,0,50,2.0,0,GOOD
17,9000,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
18,2820,HOUSE,HOUSE,425000.0,FOR_SALE,BUY_REGULAR,,182.0,0.0,USA_HYPER_EQUIPPED,0,0,1,30.0,1,117,175,2.0,0,AS_NEW
19,1050,HOUSE,APARTMENT_BLOCK,1390000.0,FOR_SALE,BUY_REGULAR,,350.0,0.0,USA_HYPER_EQUIPPED,1,0,1,54.0,1,40,150,2.0,0,AS_NEW
20,4577,HOUSE,HOUSE,295000.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,INSTALLED,0,0,1,,0,0,3220,4.0,0,GOOD
21,4260,HOUSE,HOUSE,350000.0,FOR_SALE,BUY_REGULAR,,190.0,0.0,INSTALLED,0,0,1,,1,0,1355,4.0,0,AS_NEW
22,9700,HOUSE,HOUSE,359000.0,FOR_SALE,BUY_REGULAR,,196.0,0.0,INSTALLED,0,0,1,,1,667,921,4.0,0,GOOD
23,1190,HOUSE,MANSION,1295000.0,FOR_SALE,BUY_REGULAR,7.0,400.0,,,0,0,1,,1,100,245,2.0,0,TO_RENOVATE
24,7180,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
25,1370,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
26,9600,HOUSE,HOUSE,259500.0,FOR_SALE,BUY_REGULAR,,152.0,0.0,NOT_INSTALLED,0,0,1,15.0,1,149,216,2.0,0,AS_NEW
27,1170,HOUSE,HOUSE,470000.0,FOR_SALE,BUY_REGULAR,,130.0,0.0,HYPER_EQUIPPED,0,0,0,,1,30,83,2.0,0,GOOD
28,8790,HOUSE,HOUSE,289000.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,INSTALLED,0,0,1,,0,0,311,3.0,0,GOOD
29,9600,HOUSE,MANSION,220000.0,FOR_SALE,BUY_REGULAR,,189.0,0.0,INSTALLED,0,0,1,25.0,1,75,231,2.0,0,TO_BE_DONE_UP
30,1070,HOUSE,APARTMENT_BLOCK,399000.0,FOR_SALE,BUY_REGULAR,,190.0,0.0,USA_HYPER_EQUIPPED,0,0,1,5.0,0,0,50,2.0,0,GOOD
31,9600,HOUSE,HOUSE,620000.0,FOR_SALE,BUY_REGULAR,,393.0,0.0,HYPER_EQUIPPED,0,1,1,40.0,1,434,569,2.0,0,GOOD
32,1000,HOUSE,HOUSE,745000.0,FOR_SALE,BUY_REGULAR,,250.0,0.0,HYPER_EQUIPPED,0,0,1,10.0,1,50,119,2.0,0,GOOD
33,1030,HOUSE,HOUSE,745000.0,FOR_SALE,BUY_REGULAR,,250.0,0.0,HYPER_EQUIPPED,0,0,1,10.0,1,50,119,2.0,0,GOOD
34,7911,HOUSE,HOUSE,280000.0,FOR_SALE,BUY_REGULAR,,250.0,0.0,SEMI_EQUIPPED,0,1,1,,0,0,1246,3.0,0,TO_BE_DONE_UP
35,4257,HOUSE,BUNGALOW,350000.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,USA_HYPER_EQUIPPED,0,0,1,,1,600,990,4.0,0,AS_NEW
36,1560,HOUSE,EXCEPTIONAL_PROPERTY,1045000.0,FOR_SALE,BUY_REGULAR,,400.0,0.0,HYPER_EQUIPPED,0,0,1,88.0,1,1000,1408,4.0,0,AS_NEW
37,2850,HOUSE,HOUSE,290000.0,FOR_SALE,BUY_REGULAR,,112.0,0.0,INSTALLED,0,0,0,,1,74,137,3.0,0,JUST_RENOVATED
38,1040,HOUSE,HOUSE,595000.0,FOR_SALE,BUY_REGULAR,,216.0,,,0,0,1,14.0,1,45,157,2.0,0,TO_RENOVATE
39,1150,HOUSE,HOUSE,650000.0,FOR_SALE,BUY_REGULAR,,192.0,0.0,INSTALLED,0,0,1,,1,90,189,2.0,0,GOOD
40,1210,HOUSE,HOUSE,745000.0,FOR_SALE,BUY_REGULAR,,250.0,0.0,HYPER_EQUIPPED,0,0,1,10.0,1,50,119,2.0,0,GOOD
41,8720,HOUSE,HOUSE,299000.0,FOR_SALE,BUY_REGULAR,,135.0,0.0,INSTALLED,0,0,0,,0,0,115,2.0,0,JUST_RENOVATED
42,5300,HOUSE,HOUSE,235000.0,FOR_SALE,BUY_REGULAR,,130.0,0.0,INSTALLED,0,0,1,20.0,1,0,857,4.0,0,TO_BE_DONE_UP
43,1701,HOUSE,HOUSE,299000.0,FOR_SALE,BUY_REGULAR,,156.0,0.0,NOT_INSTALLED,0,0,1,11.0,1,80,153,2.0,0,TO_BE_DONE_UP
44,9600,HOUSE,HOUSE,179000.0,FOR_SALE,BUY_REGULAR,,145.0,0.0,HYPER_EQUIPPED,0,0,1,28.0,0,0,140,2.0,0,GOOD
45,7860,HOUSE,HOUSE,110000.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,179,2.0,0,TO_RENOVATE
46,9404,HOUSE,HOUSE,199000.0,FOR_SALE,BUY_REGULAR,,135.0,0.0,SEMI_EQUIPPED,0,0,1,,0,0,361,3.0,0,TO_BE_DONE_UP
47,1700,HOUSE,HOUSE,515000.0,FOR_SALE,BUY_REGULAR,,210.0,0.0,NOT_INSTALLED,0,0,1,6.0,0,0,695,4.0,0,TO_RENOVATE
48,1420,HOUSE,VILLA,1125000.0,FOR_SALE,BUY_REGULAR,,461.0,0.0,HYPER_EQUIPPED,0,0,1,45.0,1,2974,3240,4.0,0,GOOD
49,5300,HOUSE,VILLA,270000.0,FOR_SALE,BUY_REGULAR,,147.0,0.0,USA_SEMI_EQUIPPED,0,0,1,10.0,1,700,852,4.0,0,TO_BE_DONE_UP
50,4570,HOUSE,HOUSE,309000.0,FOR_SALE,BUY_REGULAR,,250.0,0.0,SEMI_EQUIPPED,0,1,1,300.0,1,750,1700,4.0,0,GOOD
51,1082,HOUSE,MANSION,360000.0,FOR_SALE,BUY_REGULAR,,147.0,0.0,NOT_INSTALLED,0,0,1,10.0,1,70,150,2.0,0,TO_RENOVATE
52,1000,HOUSE,HOUSE,787500.0,FOR_SALE,BUY_REGULAR,,409.0,,,0,1,0,,0,0,573,3.0,0,TO_RENOVATE
53,1150,HOUSE,HOUSE,825000.0,FOR_SALE,BUY_REGULAR,,222.0,0.0,HYPER_EQUIPPED,0,0,1,20.0,0,0,555,4.0,0,TO_RENOVATE
54,9600,HOUSE,MANSION,128000.0,FOR_SALE,BUY_REGULAR,,152.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,80,2.0,0,TO_RENOVATE
55,1702,HOUSE,HOUSE,459000.0,FOR_SALE,BUY_REGULAR,,204.0,0.0,INSTALLED,0,0,1,,0,0,592,3.0,0,GOOD
56,2800,HOUSE,HOUSE,875000.0,FOR_SALE,BUY_REGULAR,,259.0,0.0,HYPER_EQUIPPED,0,0,1,40.0,0,0,98,2.0,0,AS_NEW
57,1880,HOUSE,APARTMENT_BLOCK,995000.0,FOR_SALE,BUY_REGULAR,,472.0,0.0,SEMI_EQUIPPED,0,1,1,72.0,0,0,427,3.0,0,GOOD
58,4520,HOUSE,HOUSE,380000.0,FOR_SALE,BUY_REGULAR,,255.0,0.0,HYPER_EQUIPPED,0,0,1,20.0,1,200,365,3.0,0,AS_NEW
59,6760,HOUSE,HOUSE,325000.0,FOR_SALE,BUY_REGULAR,,141.0,0.0,INSTALLED,0,0,1,,0,0,226,2.0,0,AS_NEW
60,1742,HOUSE,MIXED_USE_BUILDING,970000.0,FOR_SALE,BUY_REGULAR,,437.0,0.0,USA_INSTALLED,0,0,1,100.0,1,1560,1900,4.0,0,AS_NEW
61,6870,HOUSE,MIXED_USE_BUILDING,89000.0,FOR_SALE,BUY_REGULAR,,180.0,0.0,NOT_INSTALLED,0,0,0,,0,0,96,2.0,0,TO_RENOVATE
62,1020,HOUSE,HOUSE,539000.0,FOR_SALE,BUY_REGULAR,,390.0,0.0,INSTALLED,1,0,1,30.0,1,346,386,2.0,0,TO_RENOVATE
63,1150,HOUSE,HOUSE,1260000.0,FOR_SALE,BUY_REGULAR,,220.0,0.0,NOT_INSTALLED,0,0,1,22.0,1,200,325,3.0,0,AS_NEW
64,4500,HOUSE,HOUSE,195000.0,FOR_SALE,BUY_REGULAR,,100.0,0.0,SEMI_EQUIPPED,0,0,0,,1,0,489,4.0,0,AS_NEW
65,4500,HOUSE,BUNGALOW,195000.0,FOR_SALE,BUY_REGULAR,,100.0,0.0,SEMI_EQUIPPED,0,0,0,,1,0,489,4.0,0,AS_NEW
66,8790,HOUSE,HOUSE,289000.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,INSTALLED,0,0,1,,0,0,311,3.0,0,GOOD
67,1700,HOUSE,HOUSE,299000.0,FOR_SALE,BUY_REGULAR,,190.0,0.0,USA_SEMI_EQUIPPED,0,0,1,,0,0,169,2.0,0,TO_BE_DONE_UP
68,1160,HOUSE,HOUSE,350000.0,FOR_SALE,BUY_REGULAR,,104.0,0.0,NOT_INSTALLED,0,0,0,,0,0,55,2.0,0,TO_RENOVATE
69,1540,HOUSE,HOUSE,449000.0,FOR_SALE,BUY_REGULAR,,461.0,0.0,SEMI_EQUIPPED,0,0,1,,0,0,861,3.0,0,GOOD
70,1541,HOUSE,HOUSE,449000.0,FOR_SALE,BUY_REGULAR,,461.0,0.0,SEMI_EQUIPPED,0,0,1,,0,0,861,3.0,0,GOOD
71,1380,HOUSE,HOUSE,825000.0,FOR_SALE,BUY_REGULAR,,260.0,0.0,INSTALLED,0,0,1,15.0,1,1500,1966,4.0,0,GOOD
72,1030,HOUSE,HOUSE,490000.0,FOR_SALE,BUY_REGULAR,,150.0,0.0,HYPER_EQUIPPED,0,0,0,,0,0,65,2.0,0,AS_NEW
73,6836,HOUSE,CHALET,99000.0,FOR_SALE,BUY_REGULAR,,62.0,0.0,NOT_INSTALLED,0,0,1,8.0,1,94,150,4.0,0,TO_RENOVATE
74,6810,HOUSE,APARTMENT_BLOCK,215000.0,FOR_SALE,BUY_REGULAR,,255.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,0,2.0,0,GOOD
75,3360,HOUSE,HOUSE,415000.0,FOR_SALE,BUY_REGULAR,,182.0,,,0,0,0,,1,502,597,2.0,0,GOOD
76,1000,HOUSE,MIXED_USE_BUILDING,680000.0,FOR_SALE,BUY_REGULAR,,190.0,,,0,0,0,,0,0,80,2.0,0,TO_RENOVATE
77,9400,HOUSE,BUNGALOW,475000.0,FOR_SALE,BUY_REGULAR,,225.0,0.0,INSTALLED,0,0,1,,1,1800,2254,4.0,0,GOOD
78,2840,HOUSE,HOUSE,159000.0,FOR_SALE,BUY_REGULAR,,135.0,0.0,SEMI_EQUIPPED,0,0,1,21.0,1,77,217,3.0,0,TO_RENOVATE
79,9051,HOUSE,VILLA,725000.0,FOR_SALE,BUY_REGULAR,,380.0,0.0,INSTALLED,0,1,1,,1,0,2317,4.0,0,GOOD
80,1930,HOUSE,HOUSE,992000.0,FOR_SALE,BUY_REGULAR,,438.0,0.0,HYPER_EQUIPPED,1,1,0,,1,0,358,3.0,0,AS_NEW
81,2590,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
82,4400,HOUSE,HOUSE,115000.0,FOR_SALE,BUY_REGULAR,,90.0,0.0,INSTALLED,0,0,1,24.0,0,0,70,2.0,0,GOOD
83,4430,HOUSE,HOUSE,115000.0,FOR_SALE,BUY_REGULAR,,125.0,0.0,NOT_INSTALLED,0,0,0,,0,0,77,2.0,0,TO_RENOVATE
84,4030,HOUSE,MIXED_USE_BUILDING,129000.0,FOR_SALE,BUY_REGULAR,,156.0,0.0,NOT_INSTALLED,0,0,0,,0,0,71,2.0,0,TO_BE_DONE_UP
85,4020,HOUSE,TOWN_HOUSE,130000.0,FOR_SALE,BUY_REGULAR,,129.0,0.0,NOT_INSTALLED,0,0,0,,0,0,91,2.0,0,TO_RENOVATE
86,9600,HOUSE,HOUSE,139000.0,FOR_SALE,BUY_REGULAR,,130.0,0.0,INSTALLED,0,0,0,,0,0,50,2.0,0,GOOD
87,9600,HOUSE,HOUSE,149000.0,FOR_SALE,BUY_REGULAR,,150.0,0.0,NOT_INSTALLED,0,0,0,,1,20,90,2.0,0,TO_BE_DONE_UP
88,9600,HOUSE,HOUSE,159000.0,FOR_SALE,BUY_REGULAR,,207.0,0.0,INSTALLED,0,0,1,,0,0,160,2.0,0,TO_RENOVATE
89,4000,HOUSE,HOUSE,160000.0,FOR_SALE,BUY_REGULAR,,165.0,0.0,NOT_INSTALLED,0,0,0,,1,96,183,3.0,0,TO_RENOVATE
90,4340,HOUSE,HOUSE,169000.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,NOT_INSTALLED,0,0,1,13.0,1,280,484,2.0,0,TO_RENOVATE
91,4430,HOUSE,HOUSE,175000.0,FOR_SALE,BUY_REGULAR,,84.0,0.0,NOT_INSTALLED,0,0,1,11.0,1,90,178,4.0,0,TO_RENOVATE
92,4340,HOUSE,HOUSE,179000.0,FOR_SALE,BUY_REGULAR,,100.0,0.0,INSTALLED,0,0,0,,1,177,260,2.0,0,GOOD
93,4460,HOUSE,HOUSE,179000.0,FOR_SALE,BUY_REGULAR,,150.0,0.0,HYPER_EQUIPPED,0,0,1,,0,0,134,3.0,0,GOOD
94,9600,HOUSE,HOUSE,179900.0,FOR_SALE,BUY_REGULAR,,140.0,0.0,INSTALLED,0,0,0,,0,0,70,2.0,0,JUST_RENOVATED
95,4800,HOUSE,HOUSE,180000.0,FOR_SALE,BUY_REGULAR,,200.0,0.0,INSTALLED,0,0,1,10.0,1,122,215,2.0,0,GOOD
96,4030,HOUSE,HOUSE,185000.0,FOR_SALE,BUY_REGULAR,,108.0,0.0,INSTALLED,0,0,1,12.0,0,0,70,2.0,0,GOOD
97,4520,HOUSE,HOUSE,185000.0,FOR_SALE,BUY_REGULAR,,85.0,0.0,INSTALLED,0,0,1,20.0,1,500,653,2.0,0,GOOD
98,4000,HOUSE,APARTMENT_BLOCK,189000.0,FOR_SALE,BUY_REGULAR,,140.0,0.0,SEMI_EQUIPPED,0,0,1,,1,143,192,3.0,0,TO_BE_DONE_UP
99,6690,HOUSE,HOUSE,189000.0,FOR_SALE,BUY_REGULAR,,218.0,0.0,SEMI_EQUIPPED,0,0,1,,1,475,625,3.0,0,GOOD
100,9600,HOUSE,HOUSE,189000.0,FOR_SALE,BUY_REGULAR,,162.0,0.0,INSTALLED,0,0,1,10.0,1,50,170,2.0,0,GOOD
101,4180,HOUSE,HOUSE,195000.0,FOR_SALE,BUY_REGULAR,,242.0,0.0,SEMI_EQUIPPED,0,0,1,36.0,1,100,475,3.0,0,GOOD
102,9600,HOUSE,MIXED_USE_BUILDING,195000.0,FOR_SALE,BUY_REGULAR,,201.0,0.0,NOT_INSTALLED,0,0,1,15.0,1,105,370,2.0,0,TO_RENOVATE
103,4040,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
104,9600,HOUSE,HOUSE,199900.0,FOR_SALE,BUY_REGULAR,,162.0,0.0,HYPER_EQUIPPED,0,0,1,20.0,0,0,94,2.0,0,JUST_RENOVATED
105,7900,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
106,4540,HOUSE,HOUSE,215000.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,USA_HYPER_EQUIPPED,0,0,1,,1,240,506,3.0,0,GOOD
107,4920,HOUSE,MIXED_USE_BUILDING,215000.0,FOR_SALE,BUY_REGULAR,,208.0,0.0,SEMI_EQUIPPED,0,0,1,117.0,0,0,209,3.0,0,TO_RENOVATE
108,4920,HOUSE,HOUSE,215000.0,FOR_SALE,BUY_REGULAR,,208.0,0.0,SEMI_EQUIPPED,0,0,1,117.0,0,0,209,3.0,0,TO_RENOVATE
109,4020,HOUSE,TOWN_HOUSE,219000.0,FOR_SALE,BUY_REGULAR,,91.0,0.0,INSTALLED,0,0,1,32.0,1,408,587,3.0,0,GOOD
110,7800,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
111,4540,HOUSE,HOUSE,229500.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,INSTALLED,0,0,1,25.0,1,150,339,4.0,0,GOOD
112,8434,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
113,4530,HOUSE,BUNGALOW,235000.0,FOR_SALE,BUY_REGULAR,,140.0,0.0,SEMI_EQUIPPED,0,0,1,,1,1300,1423,4.0,0,TO_RENOVATE
114,4050,HOUSE,HOUSE,239000.0,FOR_SALE,BUY_REGULAR,,250.0,0.0,SEMI_EQUIPPED,0,0,1,30.0,1,200,296,3.0,0,GOOD
115,4460,HOUSE,HOUSE,239000.0,FOR_SALE,BUY_REGULAR,,175.0,0.0,INSTALLED,0,0,1,15.0,1,175,440,4.0,1,JUST_RENOVATED
116,9600,HOUSE,HOUSE,239500.0,FOR_SALE,BUY_REGULAR,,173.0,0.0,INSTALLED,0,0,1,25.0,1,85,190,2.0,0,AS_NEW
117,3620,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
118,4420,HOUSE,HOUSE,245000.0,FOR_SALE,BUY_REGULAR,,116.0,0.0,USA_HYPER_EQUIPPED,0,0,1,,1,120,177,2.0,0,AS_NEW
119,8930,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
120,6890,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
121,9600,HOUSE,HOUSE,249900.0,FOR_SALE,BUY_REGULAR,,173.0,0.0,HYPER_EQUIPPED,0,0,1,10.0,1,20,133,2.0,0,JUST_RENOVATED
122,9052,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
123,2440,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
124,9600,HOUSE,VILLA,265000.0,FOR_SALE,BUY_REGULAR,,175.0,0.0,HYPER_EQUIPPED,0,0,1,10.0,1,90,498,3.0,0,GOOD
125,1601,HOUSE,HOUSE,267000.0,FOR_SALE,BUY_REGULAR,,102.0,0.0,USA_HYPER_EQUIPPED,0,0,1,10.0,1,15,81,2.0,0,AS_NEW
126,4837,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
127,3840,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
128,2370,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
129,1080,HOUSE,APARTMENT_BLOCK,275000.0,FOR_SALE,BUY_REGULAR,,270.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,76,2.0,0,TO_RESTORE
130,8470,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
131,1357,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
132,9600,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
133,1330,HOUSE,HOUSE,285000.0,FOR_SALE,BUY_REGULAR,,115.0,0.0,INSTALLED,0,0,1,9.0,0,0,164,3.0,0,GOOD
134,2800,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
135,4500,HOUSE,MIXED_USE_BUILDING,289000.0,FOR_SALE,BUY_REGULAR,,322.0,0.0,SEMI_EQUIPPED,0,0,1,,1,400,492,3.0,0,GOOD
136,6800,HOUSE,HOUSE,295000.0,FOR_SALE,BUY_REGULAR,,460.0,0.0,SEMI_EQUIPPED,0,0,1,10.0,0,0,321,2.0,0,TO_BE_DONE_UP
137,8570,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
138,9600,HOUSE,MANSION,295000.0,FOR_SALE,BUY_REGULAR,,261.0,0.0,INSTALLED,0,0,1,31.0,1,66,279,3.0,0,GOOD
139,5590,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
140,2450,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
141,1760,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
142,3270,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
143,2050,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
144,2560,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
145,6760,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
146,2250,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
147,3400,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
148,4470,HOUSE,HOUSE,335000.0,FOR_SALE,BUY_REGULAR,,140.0,0.0,HYPER_EQUIPPED,0,0,1,40.0,1,1300,2013,4.0,0,TO_BE_DONE_UP
149,5100,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
150,2300,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
151,1930,HOUSE,HOUSE,349000.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,SEMI_EQUIPPED,0,0,1,14.0,1,100,171,2.0,0,TO_RENOVATE
152,1420,HOUSE,HOUSE,350000.0,FOR_SALE,BUY_REGULAR,,207.0,0.0,INSTALLED,0,0,1,20.0,1,490,585,3.0,0,GOOD
153,2870,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
154,9190,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
155,2950,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
156,2550,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
157,9255,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
158,4000,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
159,1480,HOUSE,HOUSE,378000.0,FOR_SALE,BUY_REGULAR,,210.0,0.0,SEMI_EQUIPPED,0,0,1,20.0,1,850,968,3.0,0,GOOD
160,6700,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
161,9200,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
162,1380,HOUSE,BUNGALOW,395000.0,FOR_SALE,BUY_REGULAR,,111.0,0.0,USA_INSTALLED,0,0,1,15.0,1,600,703,4.0,0,AS_NEW
163,3000,HOUSE,HOUSE,395000.0,FOR_SALE,BUY_REGULAR,,104.0,0.0,INSTALLED,1,0,1,6.0,0,0,49,2.0,0,GOOD
164,4500,HOUSE,APARTMENT_BLOCK,395000.0,FOR_SALE,BUY_REGULAR,,400.0,0.0,HYPER_EQUIPPED,0,0,1,,1,366,603,4.0,0,AS_NEW
